code,name,group,author,date,has doc,
Diagnostics/maindec-08-dhkma-a,PDP-8E EXTENDED MEMORY DATA AND CHECKERBOARD TEST,unk,unk,1972-04-10,no,replaces maindec-8e-d1bc
Diagnostics/maindec-08-dhkma-c,PDP-8E EXTENDED MEMORY DATA AND CHECKERBOARD TEST,unk,unk,1978-01-09,no,replaces maindec-8e-d1bc
Diagnostics/maindec-08-dhkmc-b,PDP-8E EXTENDED MEMORY ADDRESS TEST,unk,unk,1978-02-01,no,
Diagnostics/maindec-08-dhlaa-b,DECWRITER (LA30) EXERCISER TEST,unk,unk,1974-02-01,no,
Diagnostics/maindec-08-dhmca-a,PDP-8E MEMORY EXTENSION AND TIME SHARE CONTROL TEST,unk,unk,1975-10-15,no,replaces maindec-8e-d1hb
Diagnostics/maindec-08-dhpca-a,HIGHSPEED READER/PUNCH TESTS,unk,unk,1977-06-03,no,replaces maindec-8e-d2ca
Diagnostics/maindec-08-dhrka-a,RK8E DISKLESS CONTROLLER TEST,unk,unk,1972-10-02,no,
Diagnostics/maindec-08-dhrkb-b,RK8E DRIVE CONTROL TEST,unk,unk,1972-10-30,no,
Diagnostics/maindec-08-dhrkb-c,RK8E DRIVE CONTROL TEST,unk,unk,1973-07-17,no,
Diagnostics/maindec-08-dhrkc-a,RK8E DATA RELIABILITY PROGRAM,DIAGNOSTIC GROUP,John Vrobel,1972-10-02,yes,
Diagnostics/maindec-08-dhtaa-b,TA8E CASSETTE DIAGNOSTIC,unk,unk,1973-02-20,no,
Diagnostics/maindec-08-dhtab-b,TA8E CASSETTE DATA RELIABILITY TEST,unk,unk,1973-03-12,no,
Diagnostics/maindec-08-dhvtc-d,VT50-VT52 VIDEO TERMINAL ACCEPTANCE TEST,unk,unk,1977-08-22,no,
Diagnostics/maindec-08-didfc-a,"DF32-DF32D DISK DATA MINI DISC; INTERFACE ADDRESS, DATA TEST",unk,unk,1973-03,no,replaces maindec-08-d5cg
Diagnostics/maindec-08-dilab-d,LA36 TERMINAL DIAGNOSTIC,unk,unk,1977-04-22,no,
Diagnostics/maindec-08-dilac-b,LA180 PRINTER DIAGNOSTIC,DIAGNOSTIC GROUP,Robert Baker/Bruce Hansen,1977-05-31,yes,
Diagnostics/maindec-08-ditca-a,TC01 BASIC EXERCISER,unk,unk,1972-05-31,no,replaces maindec-08-d3bd
Diagnostics/maindec-08-divtc-a,VT55 VIDEO TERMINAL ACCEPTANCE TEST,unk,unk,1977-08-24,no,
Diagnostics/maindec-08-djdka-c,DKC8-AA OPTION TEST #1,unk,unk,1976-11-10,no,
Diagnostics/maindec-08-djexb-a,2K to 32K PDP-8A PROCESSOR EXERCISER,unk,unk,1978-01-13,no,
Diagnostics/maindec-08-djkka-c,PDP-8/A CPU TEST,unk,unk,1977-06-24,no,
Diagnostics/maindec-08-djkla-c,KL8-A MULTIPLE SERIAL LINE UNIT DIAGNOSTIC,unk,unk,1977-05-20,no,
Diagnostics/maindec-08-djmsa-a,1-4K MS8-A MOS MEMORY TEST,unk,unk,1977-08-04,no,
,,,,,,
Diagnostics/maindec-x8-ditcb-b,"DEC/X8 MODULE ""TC58MT"" TC58 DECMAGTAPE EXERCISER",unk,unk,1972-05-22,no,
,,,,,,
Diagnostics/maindec-12-d0ab,PDP-12 CP TEST 2 (SKIP AND DATA HANDLING),DIAGNOSTIC GROUP,JAMES KELLY,1969-09-19,yes,
Diagnostics/maindec-12-d0ba,INSTRUCTION TEST PART I,DIAGNOSTIC GROUP,HAROLD LONG,1969-10-01,yes,
Diagnostics/maindec-12-d0ca,CP TEST III,DIAGNOSTIC GROUP,unknown,1971,no,
Diagnostics/maindec-12-d0cb,PDP-12 CP TEST III,DIAGNOSTIC GROUP,RAYMOND SHOOP,1971-11-01,yes,
Diagnostics/maindec-12-d0ga,PDP-12 TAPE QUICKIE,DIAGNOSTIC GROUP,WALTER MANTER,1970-04-21,yes,
Diagnostics/maindec-12-d0lc,FPP-12 TRACE,DIAGNOSTIC GROUP,BILL LA FLAMME,1972-02-18,yes,
Diagnostics/maindec-12-d0mc,FPP-12 INSTRUCTION TEST 2A,DIAGNOSTIC GROUP,unknown,1971,no,
Diagnostics/maindec-12-d0nb,FPP-12 INSTRUCTION TEST 2B,DIAGNOSTIC GROUP,BOB ARMSTRONG,1970-12-15,yes,
Diagnostics/maindec-12-d0sa,KF12B AUTOMATIC PRIORITY INTERRUPT,DIAGNOSTIC GROUP,WALTER MANTER,1971-04-05,yes,
Diagnostics/maindec-12-d0ta,FPP-12 TRACE-EPM,DIAGNOSTIC GROUP,BILL LA FLAMME,1972-02-18,yes,
Diagnostics/maindec-12-d0ua,FPP-12 INSTRUCTION TEST 3,DIAGNOSTIC GROUP,WALTER MANTER,1971-12-15,yes,
Diagnostics/maindec-12-d1ab,PDP12 EXTENDED MEM CONTROL TEST,unk,unknown,1969-06-05,no,
Diagnostics/maindec-12-d1ac,EXTENDED MEMORY CONTROL (EXTMC12),DIAGNOSTIC GROUP,HAROLD LONG,1970-06-19,yes,
Diagnostics/maindec-12-d1ba,JMP SELF,DIAGNOSTIC GROUP,JAMES KELLY,1969-09-12,yes,
Diagnostics/maindec-12-d1ca,PDP-12 ADDRESS TEST,DIAGNOSTIC GROUP,unknown,1969-09-30,no,
Diagnostics/maindec-12-d1da,PDP-12 CHECKERBOARD,DIAGNOSTIC GROUP,HAROLD LONG,1969-10-20,yes,
Diagnostics/maindec-12-d1ea,FLOAT 1'S & 0'S THROUGH MEMORY,DIAGNOSTIC GROUP,JAMES KELLY,1969-09-23,yes,
Diagnostics/maindec-12-d1fa,PDP-12 BASIC MEMORY CONTROL TEST,DIAGNOSTIC GROUP,HAROLD LONG,1971-02-28,yes,
Diagnostics/maindec-12-d3ac,PDP-12 TAPE CONTROL TEST,DIAGNOSTIC GROUP,unknown,1969-11-20,no,
Diagnostics/maindec-12-d3ae,PDP-12 TAPE CONTROL TEST (PART 1 OF 2),DIAGNOSTIC GROUP,unknown,1970-08-12,no,
Diagnostics/maindec-12-d3db,PDP-12 TAPE DATA EXERCISER,DIAGNOSTIC GROUP,RAYMOND SHOOP,1971-02-01,yes,
Diagnostics/maindec-12-d3eb,TC 12-F OPTION,DIAGNOSTIC GROUP,unknown,1970-07-01,no,
Diagnostics/maindec-12-d3fb,PDP-12 TAPE DATA TEST,DIAGNOSTIC GROUP,WALTER MANTER,1970-11-01,yes,
Diagnostics/maindec-12-d3ga,PDP-12 TAPE CONTROL TEST (PART 2 OF 2),DIAGNOSTIC GROUP,JAMES KELLY,1970-05-01,yes,
Diagnostics/maindec-12-d6ba,VR12 DISPLAY TEST,DIAGNOSTIC GROUP,DAVE FERRARINI,1970-01-16,yes,Document date doesn't match
Diagnostics/maindec-12-d6bc,VR14 VR20 DISPLAY TEST,DIAGNOSTIC GROUP,RAYMOND SHOOP,1971-08-01,yes,
Diagnostics/maindec-12-d6cb,A TO D TEST,DIAGNOSTIC GROUP,unknown,1969-10-24,no,
Diagnostics/maindec-12-d6cc,A TO D TEST,DIAGNOSTIC GROUP,RAYMOND CHOOP,1970-09-21,yes,
Diagnostics/maindec-12-d7cb,PDP-12 SYSTEM EXERCISER,DIAGNOSTIC GROUP,unknown,1971-08-01,no,
Diagnostics/maindec-12-d8ab,PDP-12 RELAY REGISTER TEST,DIAGNOSTIC GROUP,J. KELLY,1969-08-01,yes,
Diagnostics/maindec-12-d8ca,KW12 CLOCK TEST,unk,unknown,1969-10-01,no,
Diagnostics/maindec-12-d8cc,KW12A CLOCK TEST,DIAGNOSTIC GROUP,HAROLD LONG,1970-06-19,yes,
Diagnostics/maindec-12-daexa-a,PDP-12 SYSTEM EXERCISER,DIAGNOSTIC GROUP,unknown,1973,no,
Diagnostics/maindec-12-dafpa-b,FPP-12 DATA EXERCISER,DIAGNOSTIC GROUP,W. MANTER,1972-07-15,yes,Replaces Diagnostics/maindec-12-doqa
Diagnostics/maindec-12-dafpb-a,FPP-12 INSTRUCTION TEST 2C,DIAGNOSTIC GROUP,B. LAFLAMME/W. MANTER,1972-07-15,yes,Replaces Diagnostics/maindec-12-d0ob
Diagnostics/maindec-12-dafpc-a,FPP-12 ADDRESS TEST,DIAGNOSTIC GROUP,B. LAFLAMME/W. MANTER,1972-07-15,yes,Replaces Diagnostics/maindec-12-dopc
